clip,frame,t,Root,Pelvis,Spine1,Spine2,Neck,Head,L_Clavicle,R_Clavicle,L_Shoulder,R_Shoulder,L_Elbow,R_Elbow,L_Hand,R_Hand,L_Hip,R_Hip,L_KneeLower,R_KneeLower,L_Foot,R_Foot,L_Toe,R_Toe,Axe_Handle,Axe_Head,Axe_Jaw,Weapon,SnapWeapon,SnapWeapon2Hand
attack1_toidle,12,0.4,-3.382|122.2638|23.7278,-2.9219|117.4075|21.8148,-5.7352|129.5107|24.9798,-8.4656|143.8684|28.7479,-6.1182|175.783|31.7944,-4.8641|182.5111|30.7665,-10.8503|168.3181|29.6806,-3.5214|173.5771|27.6535,-29.0499|166.0981|38.3555,15.4366|175.5722|20.7236,-47.125|131.352|27.6394,41.3344|144.6564|15.9944,-53.8267|102.8725|33.9506,49.5569|130.3128|40.9443,-15.528|109.4187|22.468,10.3478|112.3607|17.1667,-22.576|66.5798|44.8691,23.3286|72.0637|41.5453,-28.1786|16.9284|36.8474,23.3068|38.3368|3.8161,-28.9955|8.0519|47.4111,25.8421|24.7869|4.8294,71.0854|151.6355|-20.1128,25.2709|103.7473|105.2123,28.9234|100.0308|100.6531,57.6045|120.9029|28.7633,57.5998|120.8948|28.7579,49.5569|130.3128|40.9443
attack1_toidle,13,0.4333,-2.5484|124.4643|22.8781,-2.4256|119.3112|21.1868,-4.4159|132.2093|23.406,-6.411|147.5735|25.8269,-4.3|179.6135|27.3478,-3.2846|186.3101|25.9257,-9.1095|171.8752|26.0675,-1.472|181.3327|23.2333,-26.1728|170.0762|36.8848,16.569|183.2915|14.1728,-45.8241|134.5498|37.6169,42.2415|151.8596|15.5151,-51.0992|108.3869|51.1632,55.6496|146.8039|41.7927,-15.0931|111.7009|23.3727,10.1821|113.7503|15.4177,-22.182|66.9495|41.6407,26.2038|68.1953|22.8143,-28.1809|16.9292|36.8461,18.6921|30.8884|-10.5439,-28.9975|8.0516|47.4088,21.5008|17.8156|-7.0414,66.4799|165.0367|-22.9867,43.6829|123.2562|110.5548,47.7622|119.973|106.0249,64.7677|138.134|29.8187,64.7678|138.1292|29.8168,55.6495|146.8039|41.7927
attack1_toidle,14,0.4667,-1.7231|124.1147|21.413,-1.7212|118.5529|19.7634,-3.4696|132.4578|21.2657,-5.1909|149.0924|22.6804,-2.6119|181.0966|24.2318,-1.6114|187.7897|22.7829,-7.5894|173.2905|23.2249,0.579|187.4593|20.0498,-23.9024|171.9939|35.2088,18.0236|189.2679|9.8605,-43.6761|137.4024|43.0362,43.2364|157.447|10.6308,-47.8554|113.6483|60.7592,60.5231|154.8122|34.9223,-14.3789|111.0717|22.4047,10.5815|112.889|13.4606,-21.8599|66.8897|41.8634,27.0996|67.5455|5.8593,-28.1849|16.9309|36.8517,26.9183|22.3055|-16.8191,-29.0016|8.054|47.415,33.0928|11.3428|-11.0966,61.9349|169.0533|-31.7208,59.4778|135.5135|106.0025,63.7984|132.7694|101.3396,70.3224|147.2171|22.7579,70.3194|147.2093|22.7545,60.5231|154.8122|34.9223
attack1_toidle,15,0.5,-0.7872|122.9828|19.5682,-0.8874|117.0364|17.8627,-2.485|131.8936|19.074,-4.0431|149.7085|19.9891,-1.0596|181.6747|21.5971,-0.058|188.366|20.1404,-6.1661|173.8128|20.7831,2.366|190.9067|17.3529,-21.8654|172.9991|33.6002,19.3324|192.5994|6.3673,-41.9082|140.2305|46.7663,43.8488|160.2375|5.6553,-45.5666|118.9753|67.5185,63.8787|158.2874|27.8104,-13.5422|109.6433|20.7542,11.1602|111.3537|11.101,-21.5103|66.7469|42.733,22.947|64.9755|-3.5838,-28.1789|16.9281|36.8491,35.1624|16.9354|-18.7975,-28.9946|8.0511|47.4124,43.9558|8.0603|-12.8847,56.1199|165.7656|-39.4947,73.3221|146.3549|99.8823,77.5675|143.9022|94.9935,73.588|151.2188|15.2625,73.5883|151.2101|15.2626,63.8787|158.2874|27.8104
attack1_toidle,16,0.5333,0.291|121.2406|17.6397,-0.0465|115.0261|15.7997,-1.2496|130.6321|17.1889,-2.5138|149.3676|18.1307,0.3558|181.3459|19.7049,1.2748|188.045|18.2297,-4.7377|173.3794|19.0432,3.0137|189.4489|15.3438,-19.9683|172.8062|32.4264,17.3893|188.2883|1.0818,-41.896|143.2099|49.5164,42.9595|156.9444|-2.464,-46.4558|124.643|72.5447,65.9161|153.8432|16.4891,-12.6617|107.8253|19.2875,11.4393|109.2664|8.1799,-21.1522|66.5339|43.9774,26.8618|64.2494|-2.8782,-28.1777|16.9275|36.846,35.155|16.9343|-18.7999,-28.9938|8.0504|47.4091,43.9466|8.0576|-12.8868,48.8485|151.1837|-49.4481,85.7247|152.9185|87.4306,89.5424|150.189|82.3399,74.6255|145.9711|3.6882,74.6242|145.9648|3.6856,65.9161|153.8432|16.4892
attack1_toidle,17,0.5667,1.5847|119.6421|15.8504,1.0293|113.2451|13.9472,0.1639|129.3576|15.3847,-0.9235|148.7215|16.2559,1.5232|180.7386|17.7552,2.3158|187.4489|16.2582,-3.4702|172.6699|17.2047,3.2454|186.2829|13.2906,-18.3942|172.1328|30.9303,14.3086|182.3647|-3.252,-42.3047|145.1828|49.6606,40.0874|151.6154|-9.4798,-47.1181|128.6838|74.1645,64.8356|144.3701|5.7149,-11.5185|106.229|18.0077,11.9716|107.3912|5.6311,-20.6261|66.3437|44.7074,33.6255|63.9958|-0.252,-28.1754|16.9258|36.8414,35.1635|16.9323|-18.7902,-28.9909|8.0483|47.4043,43.9558|8.0571|-12.8759,41.4386|129.8088|-56.6281,91.6165|156.3493|73.2812,95.0291|152.8812|68.3551,72.5771|134.6321|-6.4063,72.5727|134.6169|-6.4044,64.8356|144.3701|5.715
attack1_toidle,18,0.6,3.3889|118.7702|14.4543,2.7221|112.2505|12.653,2.0408|128.6269|13.7361,0.9503|148.3041|14.1351,2.5134|180.3944|15.181,3.0993|187.1034|13.5857,-2.2573|172.1826|14.798,3.8003|182.2152|10.6167,-17.1126|171.5014|28.5916,14.7732|178.3838|-6.0062,-42.8967|144.5033|44.564,39.3147|146.7402|-12.7325,-44.5543|128.2547|69.6451,63.5514|133.8743|-0.7785,-9.7429|105.3624|17.1631,13.3594|106.2438|4.0548,-19.7509|66.2163|44.6235,37.0097|63.6358|0.6085,-28.1828|16.9283|36.8392,35.1625|16.9338|-18.7956,-28.9993|8.0507|47.4019,43.9534|8.0567|-12.882,36.8461|105.173|-56.5384,93.9458|161.2773|60.4683,97.1071|156.7289|56.314,70.6852|121.5154|-10.6807,70.6804|121.5081|-10.6823,63.5514|133.8743|-0.7785
attack1_toidle,19,0.6333,5.6872|118.0305|13.1437,4.9319|111.4378|11.5167,4.4705|127.9255|12.0854,3.3907|147.7138|11.8028,3.6447|179.8575|12.0126,3.948|186.541|10.2417,-0.7878|171.4508|11.869,4.8422|177.1782|7.5254,-15.8078|170.477|25.4654,15.8834|173.3669|-9.0569,-43.7158|142.4283|34.5896,38.9463|140.7735|-16.4479,-41.6669|125.3893|59.111,60.8831|121.9771|-8.6175,-7.424|104.6631|16.4762,15.3299|105.2494|2.7564,-18.5761|66.0586|44.2607,40.066|63.1487|1.2321,-28.1763|16.9273|36.8476,35.1581|16.9305|-18.7879,-28.9882|8.0502|47.4111,43.95|8.0546|-12.8739,30.8119|80.5201|-53.5969,94.9236|163.5055|41.8063,97.797|157.9566|38.8243,67.3132|107.2959|-15.3111,67.304|107.2834|-15.3089,60.8831|121.9771|-8.6175
attack1_toidle,20,0.6667,8.1267|117.4145|11.9136,7.3257|110.8897|10.4913,7.0682|127.1232|10.5038,6.0184|146.5696|9.4642,4.9247|178.6857|8.6369,4.9475|185.3155|6.6509,0.8485|170.1004|8.7707,6.4297|172.2131|4.4728,-14.4255|168.7445|22.0476,17.6202|168.3344|-11.9934,-43.3791|140.2853|22.8232,39.0026|134.9088|-20.6171,-38.8749|122.3526|46.3595,57.9468|111.8523|-18.301,-4.9204|104.1913|15.8137,17.5805|104.5438|1.675,-17.2816|65.8968|43.5154,42.677|62.6293|1.604,-28.185|16.931|36.847,35.1558|16.9284|-18.7887,-28.9883|8.0536|47.4109,43.9474|8.0528|-12.8739,22.5361|63.3162|-50.4946,97.6583|161.4485|18.97,99.9809|155.1462|17.289,62.9997|95.5523|-21.5355,62.9912|95.5432|-21.5352,57.9468|111.8523|-18.301
attack1_toidle,21,0.7,10.3651|116.9191|10.7592,9.5709|110.6886|9.5301,9.4804|126.1048|9.0483,8.5204|144.5294|7.2994,6.4249|176.5517|5.4272,6.2435|183.1108|3.2266,2.6187|167.852|5.8384,8.2757|168.4528|1.6278,-12.8504|166.0194|18.8289,19.6066|164.3929|-14.6982,-41.7066|138.0721|12.9034,39.1558|130.2804|-24.8475,-37.5574|118.8199|35.4414,55.2408|105.2601|-28.1805,-2.5953|104.0012|15.0457,19.809|104.2625|0.7524,-16.0213|65.7464|42.3032,44.666|62.216|1.694,-28.1722|16.9251|36.8407,35.1575|16.9308|-18.7963,-28.9572|8.0464|47.4049,43.9496|8.0548|-12.8828,11.1636|58.6069|-51.1321,104.0588|153.0127|-0.5686,105.3377|146.2587|-1.398,57.6811|88.0925|-29.1819,57.6751|88.0897|-29.1826,55.2408|105.2601|-28.1805
attack1_toidle,22,0.7333,12.7943|117.1371|9.6895,12.009|111.3716|8.6425,12.2102|125.5432|7.6738,11.6367|142.4238|5.1358,9.1275|174.3131|1.9574,8.8626|180.774|-0.5091,5.4212|165.6923|2.7055,11.0784|166.1496|-1.5177,-10.127|163.3337|15.5156,22.699|161.5584|-17.4955,-38.491|136.1367|5.2862,39.709|126.4053|-28.6207,-37.6693|114.7294|26.1879,52.5752|100.4662|-36.2016,-0.1052|104.6577|14.2402,22.3002|104.9167|-0.0514,-14.4728|65.5388|39.7341,45.8395|62.1296|1.3015,-28.1833|16.9302|36.5364,35.1517|16.9282|-18.7887,-28.8094|8.0531|47.1125,43.9418|8.0509|-12.8742,-3.9432|70.7655|-60.0686,114.0128|129.5076|-7.7773,113.1634|122.7432|-8.986,49.6608|83.4538|-38.1436,49.6544|83.4471|-38.138,52.5752|100.4662|-36.2016
attack1_toidle,23,0.7667,15.1793|118.1898|8.7932,14.3796|112.8323|7.8968,14.9603|125.8874|6.4818,14.9602|141.3521|3.1548,12.4057|173.0638|-1.4467,12.1309|179.4075|-4.1999,8.6827|164.7058|-0.3601,14.3501|164.8843|-4.5813,-6.8651|161.8054|12.3388,26.4597|159.5817|-19.9647,-34.6547|135.3012|-0.8559,40.1685|123.0176|-31.0996,-38.1376|111.9302|17.5149,49.1764|96.1931|-40.854,2.3091|106.0962|13.5616,24.714|106.3573|-0.7308,-12.927|65.1684|35.4577,46.0918|62.445|0.4367,-28.1819|16.9283|34.3756,35.1566|16.9325|-18.7999,-28.5024|8.0513|44.9656,43.9477|8.055|-12.8873,-13.5962|93.8186|-67.3128,116.1101|95.4506|-10.1091,112.8082|89.7585|-12.2624,40.1176|82.0139|-45.1637,40.1083|82.0068|-45.1608,49.1764|96.1931|-40.854
attack1_toidle,24,0.8,16.2546|119.3717|8.1712,15.4449|114.1885|7.3353,16.216|126.7553|5.7323,16.5061|141.5823|2.0414,13.9408|173.1766|-3.3013,13.6629|179.4539|-6.2024,10.1917|165.0701|-2.0705,15.8693|165.0544|-6.2748,-5.3224|161.6106|10.5291,28.449|159.3899|-21.1433,-32.7987|135.4573|-3.9588,38.9531|121.6743|-31.9157,-39.8042|111.1707|12.0697,44.8145|94.1143|-42.0121,3.3921|107.4443|13.0282,25.7968|107.7047|-1.2646,-12.3625|64.8923|31.1328,45.4392|62.9805|-0.4985,-28.1773|16.9284|27.9148,35.1545|16.9306|-18.7915,-28.2367|8.0517|38.5096,43.9458|8.0535|-12.8784,-16.3746|110.6441|-67.0872,109.2019|73.1051|-13.0501,104.5291|68.6958|-15.6314,32.369|83.2489|-47.3728,32.3638|83.2421|-47.3693,44.8145|94.1143|-42.012
attack1_toidle,25,0.8333,16.0142|120.4952|7.8635,15.2202|115.2059|6.9934,15.8394|128.0746|5.5221,15.8975|143.2747|1.9853,13.26|174.8456|-3.4602,12.9675|181.1127|-6.3817,9.5065|166.9094|-2.2447,15.1953|166.8029|-6.4279,-6.0269|163.0201|10.205,28.2507|161.1207|-20.8736,-33.1248|136.5766|-4.4676,35.9353|122.8755|-32.1474,-42.5006|112.0557|9.9075,39.8129|94.9589|-42.2209,3.1639|108.4631|12.6806,25.5694|108.7235|-1.6109,-12.6304|64.5299|27.0707,44.1976|63.5619|-1.3317,-28.1866|16.9304|19.7708,35.1605|16.931|-18.793,-28.0875|8.0527|30.3645,43.9519|8.0543|-12.8795,-20.6632|114.1977|-67.0928,103.294|71.1176|-13.4515,98.4064|66.9178|-15.9838,26.8443|84.6588|-47.4563,26.8325|84.6571|-47.4564,39.8129|94.9589|-42.2208
attack1_toidle,26,0.8667,15.5352|121.6456|7.7746,14.7695|116.1187|6.8357,15.0976|129.6347|5.6081,14.7334|145.633|2.3832,12.0708|177.1958|-3.0962,11.7733|183.4596|-6.0245,8.3005|169.4326|-1.9145,14.0011|169.2364|-6.0759,-7.3232|165.3229|10.3501,27.5118|163.5511|-20.0955,-33.7548|138.1638|-4.2304,32.6356|125.2035|-32.4264,-45.0132|113.5303|8.508,35.1493|97.1657|-42.5957,2.7065|109.3795|12.5127,25.1112|109.6395|-1.7799,-12.832|64.4715|23.8481,42.794|64.0999|-2.1241,-28.1756|16.9268|15.7812,35.1585|16.9289|-18.7857,-27.9601|8.05|26.3739,43.9499|8.0528|-12.8714,-24.9997|116.8393|-67.9167,98.2355|72.8906|-13.3252,93.3155|68.7221|-15.8463,22.0965|86.961|-47.8085,22.0918|86.9589|-47.8108,35.1493|97.1657|-42.5957
attack1_toidle,27,0.9,15.1907|122.5167|7.7934,14.4278|116.7482|6.7973,14.6144|130.8984|5.7251,14.0362|147.6684|2.691,11.3684|179.2296|-2.7954,11.0699|185.4927|-5.725,7.5728|171.6672|-1.6611,13.2812|171.414|-5.8083,-8.1833|167.4585|10.3988,26.9928|165.7257|-19.6301,-33.9312|139.4774|-3.8469,30.459|127.5026|-32.8903,-46.58|114.8372|7.4974,32.537|99.4227|-43.0415,2.3552|110.0136|12.4594,24.7609|110.273|-1.8317,-12.921|64.7095|22.5009,41.7115|64.4628|-2.7084,-28.1847|16.9305|15.7791,35.1531|16.9302|-18.7909,-27.9269|8.0539|26.3711,43.9438|8.0533|-12.8767,-27.9245|117.2645|-68.9678,96.02|77.123|-13.0656,91.2038|72.7984|-15.5236,19.7346|88.8323|-48.1038,19.7177|88.8285|-48.1,32.537|99.4227|-43.0415
attack1_toidle,28,0.9333,15.0708|123.1798|7.8442,14.2758|117.1398|6.8039,14.5044|131.986|5.7817,13.9557|149.5932|2.786,11.2593|181.1451|-2.7396,10.9552|187.4042|-5.677,7.4198|173.2986|-1.6836,13.1309|173.0261|-5.826,-8.4806|169.0487|10.1706,26.838|167.3384|-19.6526,-33.8838|140.3983|-3.3451,29.4426|129.3028|-33.6295,-47.5678|115.9343|7.1471,31.669|101.2043|-43.6976,2.1927|110.4101|12.4493,24.5984|110.6702|-1.8418,-12.9619|64.8538|21.4835,41.0325|64.6807|-3.0852,-28.1788|16.9284|15.7734,35.1667|16.9303|-18.7857,-27.9206|8.0512|26.3649,43.9579|8.0546|-12.8705,-29.2511|116.3896|-70.2355,95.7411|81.764|-12.9932,91.0804|77.2231|-15.3593,19.2444|90.074|-48.5381,19.2385|90.0733|-48.5381,31.669|101.2043|-43.6976
attack1_toidle,29,0.9667,14.9861|123.5305|7.9261,14.1668|117.4631|6.8498,14.4779|132.4144|5.9418,13.9289|150.1202|2.9435,10.7451|181.5042|-3.2396,10.3427|187.695|-6.3073,6.9687|173.3418|-2.1171,12.6803|173.0664|-6.2586,-9.0143|169.1021|9.6293,26.4418|167.3335|-20.0122,-34.2817|139.7992|-2.6889,28.4425|129.5232|-34.6828,-48.292|115.6496|8.0968,30.9081|101.4408|-44.7401,2.0705|110.7395|12.4742,24.4756|111.0007|-1.8177,-12.9898|64.9672|20.5202,40.435|64.8551|-3.4139,-28.1793|16.9278|15.7774,35.1614|16.9331|-18.7982,-27.9208|8.0515|26.3696,43.9533|8.0565|-12.8853,-30.1535|114.4827|-72.0806,95.1973|84.3059|-13.1299,90.6839|79.5981|-15.455,18.836|89.891|-49.4891,18.8277|89.8843|-49.4831,30.9081|101.4408|-44.7401
attack1_toidle,30,1.0,14.9404|123.8135|8.0891,14.0952|117.7245|6.9747,14.4937|132.7673|6.1869,13.9483|150.5547|3.19,10.2789|181.7483|-3.6523,9.7791|187.8658|-6.8499,6.5024|174.2498|-2.5721,12.2126|173.9838|-6.7162,-9.5677|170.0542|9.0707,26.0176|168.2253|-20.4154,-34.7816|140.1988|-1.9637,27.7469|130.6251|-35.6498,-48.5529|116.4503|9.9602,30.6094|102.5625|-45.6569,1.9836|111.009|12.576,24.3881|111.2692|-1.7169,-13.0028|65.0504|19.6382,39.9129|64.9892|-3.6653,-28.1774|16.9279|15.7719,35.1618|16.9311|-18.7933,-27.9181|8.0496|26.3624,43.9541|8.0555|-12.8795,-30.4217|113.8221|-73.8443,94.9125|87.3438|-13.1082,90.5346|82.5022|-15.4173,18.8591|90.6743|-50.3778,18.8532|90.6727|-50.3762,30.6094|102.5625|-45.6569
attack1_toidle,31,1.0333,14.9208|124.036|8.3608,14.0562|117.9307|7.217,14.5065|133.0371|6.5035,14.0044|150.9038|3.5656,10.3065|182.0862|-3.3126,9.8011|188.1995|-6.5173,6.4275|175.2961|-2.4115,12.1344|175.0502|-6.5613,-9.7991|171.172|9.0382,25.9015|169.3555|-20.3252,-34.9748|140.9094|-0.9218,27.7747|131.9016|-35.8992,-48.1894|117.6211|12.4519,31.2638|103.8485|-45.7324,1.9283|111.2232|12.7924,24.3332|111.4841|-1.4999,-13.0073|65.1071|18.8668,39.4472|65.0864|-3.8404,-28.1817|16.929|15.7682,35.1558|16.9314|-18.7966,-27.9225|8.0506|26.3586,43.9472|8.0551|-12.8825,-29.7084|113.5521|-74.6173,95.5453|90.3018|-12.4112,91.2884|85.3468|-14.7063,19.8019|91.6723|-50.4284,19.7991|91.6658|-50.4254,31.2638|103.8485|-45.7324
attack1_toidle,32,1.0667,14.928|124.2039|8.7895,14.044|118.0881|7.6175,14.5465|133.243|6.9765,14.0886|151.171|4.0957,10.3647|182.3416|-2.822,9.854|188.4504|-6.0344,6.5403|175.3982|-1.8242,12.2458|175.1594|-5.9764,-9.8344|171.3736|9.4487,25.9633|169.5344|-19.8183,-34.9875|140.8133|0.3809,28.4661|132.1149|-35.3864,-46.7165|118.3024|16.2401,32.8874|104.0524|-44.8095,1.9|111.3891|13.168,24.3041|111.6499|-1.1255,-12.9994|65.141|18.245,39.024|65.1512|-3.9283,-28.1816|16.9291|15.773,35.161|16.9322|-18.7947,-27.9227|8.0513|26.3639,43.9536|8.0566|-12.8813,-28.1324|112.2518|-74.0576,97.2703|92.1248|-11.0678,93.1197|87.0631|-13.3242,21.6827|91.6052|-49.4146,21.6771|91.6029|-49.4133,32.8874|104.0524|-44.8095
attack1_toidle,33,1.1,14.9488|124.3216|9.8275,14.0443|118.2032|8.624,14.6121|133.3928|8.0774,14.174|151.3504|5.2259,10.1936|182.4118|-2.0317,9.6319|188.4806|-5.3107,6.504|175.1818|-0.8201,12.2102|174.9404|-4.9712,-9.9711|171.2603|10.3423,25.905|169.3551|-18.8516,-35.1129|140.4886|1.9859,29.218|131.9143|-34.2159,-45.7053|118.743|19.6142,34.6641|103.8553|-43.0972,1.8842|111.5126|14.1493,24.2893|111.7732|-0.1427,-12.995|65.1475|18.0916,38.4505|65.1632|-3.8351,-28.1808|16.929|15.7754,35.1551|16.9331|-18.8017,-27.9222|8.0521|26.3671,43.9467|8.0561|-12.889,-26.4572|110.9429|-72.4241,99.1995|93.1255|-9.245,95.1216|87.9867|-11.4595,23.6381|91.2124|-47.5995,23.62|91.2032|-47.5944,34.6641|103.8553|-43.0972
attack1_toidle,34,1.1333,14.9673|124.399|11.3362,14.0441|118.2828|10.1048,14.6727|133.4925|9.645,14.2501|151.4615|6.8138,10.01|182.4043|-0.7947,9.3967|188.4306|-4.1422,6.3281|175.8142|0.4126,12.0272|175.6102|-3.7505,-10.226|172.0045|11.4966,25.6883|170.0555|-17.6763,-35.3701|141.0885|3.6981,29.65|132.5985|-32.8461,-46.4686|119.4101|21.0962,35.9798|104.5632|-41.2012,1.8704|111.5995|15.6089,24.2751|111.8602|1.3163,-12.9941|65.1382|18.2652,37.6892|65.1458|-3.6321,-28.1823|16.9295|15.7676,35.1548|16.9325|-18.7998,-27.9237|8.0514|26.3582,43.9456|8.0551|-12.8865,-25.1979|111.1218|-70.5334,100.5982|94.4024|-7.3318,96.5555|89.2276|-9.5267,25.0406|91.8281|-45.6548,25.0257|91.8214|-45.6531,35.9798|104.5633|-41.2012
attack1_toidle,35,1.1667,14.9806|124.4488|12.4782,14.0441|118.3332|11.2269,14.7118|133.5578|10.8223,14.3142|151.5439|8.0246,10.0043|182.4535|0.3204,9.3769|188.4679|-3.0458,6.2602|176.6084|1.4194,11.9506|176.4457|-2.7581,-10.3723|172.9178|12.4262,25.5398|170.9426|-16.7744,-35.5331|141.9129|5.0462,30.0501|133.4751|-31.7641,-47.1545|120.2419|22.1089,37.1814|105.4826|-39.6007,1.8589|111.6557|16.7129,24.2638|111.9172|2.4204,-12.9813|65.1355|18.2276,37.0445|65.1405|-3.5174,-28.1796|16.9284|15.7621,35.1647|16.9351|-18.8052,-27.9208|8.0491|26.3518,43.9571|8.0591|-12.8921,-24.0166|111.7202|-68.9603,101.8344|95.6669|-5.6954,97.814|90.4704|-7.88,26.2971|92.6918|-44.0295,26.294|92.6863|-44.0244,37.1814|105.4826|-39.6007
attack1_toidle,36,1.2,14.9905|124.4802|13.018,14.0441|118.361|11.7522,14.7407|133.6063|11.3862,14.3642|151.6172|8.613,10.0117|182.5067|0.8528,9.376|188.5141|-2.5243,6.3004|176.4084|2.0049,11.9962|176.2189|-2.1637,-10.3974|172.8715|12.963,25.504|170.7997|-16.291,-35.5787|141.8157|5.8724,30.4905|133.3209|-31.1006,-46.2728|120.7287|24.2246,38.2992|105.3838|-38.4752,1.8509|111.6888|17.2267,24.2555|111.9481|2.934,-12.9673|65.1434|18.0061,36.686|65.1406|-3.485,-28.1823|16.9298|15.7804,35.1506|16.931|-18.7975,-27.9237|8.0535|26.3726,43.9418|8.0538|-12.8844,-22.8854|111.3578|-67.9177,102.9455|95.852|-4.4765,98.9455|90.6377|-6.6561,27.4637|92.5478|-42.8929,27.4522|92.5416|-42.8903,38.2992|105.3838|-38.4752
attack1_toidle,37,1.2333,14.9972|124.4995|13.3247,14.0443|118.3727|12.0498,14.7624|133.6445|11.7105,14.3922|151.6822|8.942,9.9466|182.5271|1.0581,9.2926|188.5189|-2.3431,6.2767|176.166|2.2738,11.9784|175.9475|-1.885,-10.4744|172.8178|13.2098,25.4021|170.6335|-16.1318,-35.6762|141.7374|6.3024,30.7732|133.1427|-30.7755,-45.4242|121.2454|25.8187,39.0695|105.2576|-37.8069,1.8473|111.7013|17.5168,24.2532|111.9634|3.2261,-12.9553|65.1456|17.8386,36.4953|65.1447|-3.4679,-28.1807|16.9284|15.7694,35.169|16.9347|-18.7989,-27.9221|8.0514|26.361,43.9604|8.0586|-12.8846,-22.077|111.1226|-67.3503,103.6756|95.8433|-3.6991,99.6864|90.6217|-5.881,28.2592|92.4029|-42.2318,28.2501|92.3924|-42.2244,39.0696|105.2576|-37.8069
attack1_toidle,38,1.2667,14.9985|124.5102|13.4734,14.0439|118.375|12.1979,14.771|133.669|11.8631,14.3955|151.7259|9.0771,9.854|182.5216|1.0566,9.181|188.4961|-2.3711,6.1231|176.8458|2.1653,11.823|176.6348|-1.9962,-10.6758|173.6747|13.081,25.1569|171.411|-16.3603,-35.8986|142.5885|6.2772,30.8359|133.908|-30.8559,-46.0201|121.9949|25.494,39.4805|106.067|-37.6381,1.8481|111.7039|17.6679,24.2536|111.9636|3.3765,-12.9515|65.1463|17.8164,36.3972|65.1388|-3.4519,-28.1822|16.93|15.7647,35.1517|16.9315|-18.7984,-27.9237|8.0514|26.3549,43.9426|8.0543|-12.885,-21.6273|111.8756|-67.2726,104.0436|96.714|-3.4321,100.0608|91.4885|-5.6167,28.6848|93.2028|-42.071,28.6814|93.1985|-42.0664,39.4805|106.0671|-37.6381
attack1_toidle,39,1.3,14.9919|124.5163|13.5378,14.0443|118.3742|12.2735,14.7541|133.6767|11.9083,14.3635|151.7398|9.0935,9.8087|182.5293|1.057,9.1332|188.5018|-2.3738,6.0116|177.4462|2.0534,11.6982|177.3027|-2.1306,-10.8254|174.3959|12.9447,24.9287|172.1374|-16.611,-36.0545|143.3092|6.1663,30.864|134.6349|-31.0049,-46.5315|122.5633|25.0254,39.7772|106.8368|-37.6126,1.8568|111.698|17.7556,24.2622|111.9594|3.464,-12.9444|65.1408|17.8791,36.3736|65.1357|-3.4294,-28.1746|16.9266|15.7754,35.1687|16.9321|-18.7903,-27.9151|8.0498|26.3672,43.9614|8.0566|-12.877,-21.3154|112.5436|-67.2983,104.3258|97.5941|-3.3494,100.3508|92.3618|-5.5317,28.9999|93.9554|-42.0407,28.9912|93.9521|-42.0429,39.7772|106.8368|-37.6126
attack1_toidle,40,1.3333,14.982|124.522|13.5789,14.0442|118.372|12.331,14.7279|133.6811|11.9206,14.3171|151.7489|9.0688,9.7743|182.5444|1.0482,9.1011|188.5189|-2.3795,6.0114|177.0114|2.1031,11.6953|176.8801|-2.0854,-10.8609|174.0698|12.9695,24.8165|171.7477|-16.6765,-36.1403|143.0454|6.0935,30.9462|134.2465|-30.9923,-45.7628|122.7316|25.8567,40.0782|106.4852|-37.4547,1.8667|111.6912|17.8299,24.2718|111.9504|3.5379,-12.9452|65.1375|17.979,36.3548|65.127|-3.4066,-28.1799|16.9292|15.7749,35.1589|16.9308|-18.7919,-27.9201|8.0516|26.3659,43.9505|8.0547|-12.8778,-21.0112|112.0969|-67.1651,104.6263|97.3451|-3.163,100.6584|92.1064|-5.343,29.318|93.5877|-41.8771,29.3089|93.5829|-41.8731,40.0782|106.4852|-37.4547
attack1_toidle,41,1.3667,14.9724|124.5205|13.6066,14.0439|118.3651|12.3742,14.7038|133.6754|11.9218,14.2731|151.7411|9.0337,9.7314|182.5366|1.0126,9.0583|188.5111|-2.4152,6.0002|176.5716|2.1214,11.6844|176.4385|-2.0667,-10.8933|173.6984|12.9732,24.6996|171.2955|-16.7487,-36.3091|142.8493|5.8172,30.974|133.7994|-31.0148,-45.1213|122.9623|26.3764,40.2708|106.0688|-37.3733,1.8763|111.6791|17.8886,24.2813|111.9382|3.5963,-12.9529|65.1315|18.1589,36.3566|65.1178|-3.3821,-28.1902|16.9326|15.7739,35.154|16.9309|-18.7957,-27.9316|8.0554|26.3653,43.945|8.0536|-12.8825,-20.8282|111.5928|-67.0802,104.8327|97.0239|-3.0823,100.8698|91.7793|-5.2571,29.523|93.1566|-41.7828,29.5168|93.1533|-41.782,40.2708|106.0688|-37.3733
